doi	title	publisher	publicationYear
10.5255/ukda-sn-5050-24	English Longitudinal Study of Ageing: Waves 0-9, 1998-2019	UK Data Service	2023
10.5255/ukda-sn-6849-14	Understanding Society: Innovation Panel, Waves 1-13, 2008-2020	UK Data Service	2023
10.5255/ukda-sn-6533-19	National Diet and Nutrition Survey Years 1-11, 2008-2019	UK Data Service	2023
10.5255/ukda-sn-7481-2	Integrated Census Microdata (I-CeM), 1851-1911	UK Data Service	2023
10.5255/ukda-sn-8431-1	English Longitudinal Study of Ageing: Waves 1-8, 2002-2017: Quintile Index of Multiple Deprivation Score: Special Licence Access	UK Data Service	2023
10.5255/ukda-sn-8223-2	Active Lives Survey, 2015-2016	UK Data Service	2023
10.5255/ukda-sn-8391-1	Active Lives Survey, 2016-2017	UK Data Service	2023
10.5255/ukda-sn-5350-6	Millennium Cohort Study: Age 3, Sweep 2, 2004	UK Data Service	2023
10.5255/ukda-sn-7251-5	Understanding Society: Waves 2-3 Nurse Health Assessment, 2010-2012	UK Data Service	2023
10.5255/ukda-sn-7605-1	2011 Census Microdata Individual Safeguarded Sample (Regional): England and Wales	UK Data Service	2023
10.25934/pr00008831	A Phase III Randomised, Double-blind Trial to Evaluate Efficacy and Safety of Once Daily Empagliflozin 10 mg Compared to Placebo, in Patients With Chronic Heart Failure With Preserved Ejection Fraction (HFpEF)	Vivli	2023
10.25934/pr00008832	A Phase III Randomised, Double-blind Trial to Evaluate Efficacy and Safety of Once Daily Empagliflozin 10 mg Compared to Placebo, in Patients With Chronic Heart Failure With Reduced Ejection Fraction (HFrEF)	Vivli	2023
10.11582/2023.00011	"Data used in the case studies of manuscript ""simAIRR: simulation of adaptive immune repertoires with realistic receptor sequence sharing for benchmarking of immune state prediction methods"""	NIRD RDA	2023
10.11582/2023.00037	NorESM2-LM - ZECMIP B3 experiment	NIRD RDA	2023
10.11582/2023.00038	NorESM2-LM - ZECMIP B3 - extension1	NIRD RDA	2023
10.11582/2023.00039	NorESM2-LM - ZECMIP B3 - extension2	NIRD RDA	2023
10.11582/2023.00004	Selected NorESM1-ME data from EXPECT project	NIRD RDA	2023
10.11582/2023.00006	Analytical tools to measure cilia synchronization by Ringers et al	NIRD RDA	2023
10.11582/2023.00007	Granite experiments	NIRD RDA	2023
10.11582/2023.00020	Nusfjord Fault Rocks	NIRD RDA	2023
10.11582/2023.00028	MD simulations AURKB	NIRD RDA	2023
10.11582/2023.00065	Brute force metabarcoding of small Arctic copepods	NIRD RDA	2023
10.11582/2023.00066	Brute force metabarcoding of small Arctic copepods (pilot)	NIRD RDA	2023
10.11582/2023.00110	Deployment of a high dynamic range and autonomous ocean-light instrument (OptiCAL) in the Arctic Ocean from July to December 2019 and corresponding surface irradiance (EPAR), solar and lunar zenith angles modelled with the HEIMDALL radiative transfer model.	NIRD RDA	2023
10.11582/2023.00111	In-air time series for intercomparison of a 11 high dynamic range and autonomous ocean-light instruments (OptiCAL)	NIRD RDA	2023
10.11582/2023.00112	Calibration data for a high dynamic range and autonomous ocean-light instrument (OptiCAL)	NIRD RDA	2023
10.11582/2023.00031	Nansen Legacy Sediment Pigment Data Q2 - WARNING: incorrect numbers	NIRD RDA	2023
10.11582/2023.00030	Nansen Legacy Sediment Pigment Data Q1 - WARNING: incorrect numbers	NIRD RDA	2023
10.11582/2023.00033	Nansen Legacy Sediment Pigment Data Q4 - WARNING: incorrect numbers	NIRD RDA	2023
10.11582/2023.00032	Nansen Legacy Sediment Pigment Data Q3 - WARNING: incorrect numbers	NIRD RDA	2023
10.11582/2023.00129	Mesoscale eddies over sloping topography	NIRD RDA	2023
10.11582/2023.00128	Permafost data Norway Iceland	NIRD RDA	2023
10.11582/2023.00092	Downward vertical flux of particulate organic carbon (POC) and nitrogen (PON) in the northern Barents Sea during August 2018, Nansen Legacy cruise 2018707 J/C 1-2	NIRD RDA	2023
10.11582/2023.00036	Processing scripts for tomography data	NIRD RDA	2023
10.11582/2023.00029	AGCM experiments Atlantic Nino background	NIRD RDA	2023
10.17882/96981	CTD and ADCP hydrothermal plume data from the MomarSat 2023 cruise	SEANOE	2023
10.11582/2023.00133	Global CESM2 simulations historical and future projections for the EXHAUSTION EU project	NIRD RDA	2023
10.17612/85eb-gv32	Micro-CT imaging of capillary plate experiments on water-wet and mixed-wet heterogeneous sandstones	Digital Rocks Portal	2023
10.17612/phhx-4k68	Data for pore-scale imaging of brine-nitrogen co-injection in cm-scale Bentheimer sandstone sample	Digital Rocks Portal	2023
10.34914/olos:bivq3dcebff5dfrqtbf3v5y7si	Identification of heart rate dynamics during treadmill exercise: comparison of first‑ and second‑order models	OLOS.swiss, OLOS	2023
10.34914/olos:xtyv7akiu5bzdba3oemrarg4ru	Heart rate dynamics identification and control in cycle ergometer exercise: Comparison of first- and second-order performance	OLOS.swiss, OLOS	2023
10.15472/fdckvs	Colección de Referencia de Equinodermos del Museo de Ciencias de la Universidad El Bosque	Universidad El Bosque	2023
10.15472/66y7cn	Colección de Referencia de Poríferos del Museo de Ciencias de la Universidad El Bosque	Universidad El Bosque	2023
10.15472/o6uaec	Colección de Referencia de Annelida Marina del Museo de Ciencias de la Universidad El Bosque	Universidad El Bosque	2023
10.15472/mhcjwo	Colección de Referencia de Cnidarios del Museo de Ciencias de la Universidad El Bosque	Universidad El Bosque	2023
10.15472/lkbpro	Colección de Referencia de Moluscos del Museo de Ciencias de la Universidad El Bosque	Universidad El Bosque	2023
10.5255/ukda-sn-7363-9	European Working Conditions Survey Integrated Data File, 1991-2015	UK Data Service	2023
10.23637/rothamsted.98y37	Host map of Ash trees in Great Britain	Rothamsted Research	2023
10.15472/uofnlo	Crustáceos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CERBMcr-UV)	Universidad del Valle	2023
10.15472/lywq4k	Equinodermos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRBMeq-UV)	Universidad del Valle	2023
10.15472/otu4ix	Corales de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRBMco)	Universidad del Valle	2023
10.15472/hnrpqx	Moluscos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRM-UV)	Universidad del Valle	2023
10.15472/f2kcwu	Poliquetos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRBMUV)	Universidad del Valle	2023
10.34810/data704	Calibrated signals used for overlap retrievals	CORA.Repositori de Dades de Recerca	2023
10.15472/6i4jdy	Colección del laboratorio de Entomología Universidad de la Amazonia (LEUA) - Coleoptera	Universidad de la Amazonia	2023
10.1594/pangaea.963072	Inorganic nutrient concentrations in seawater during a multi-stressor ex-situ aquarium experiment with the cold-water coral Dendrophyllia cornigera	PANGAEA	2023
10.1594/pangaea.958465	Glycerol dialkyl glycerol tetraethers (GDGT) lipids and CARD-FISH data from suspended particulate matter from the central Baltic Sea	PANGAEA	2023
10.1594/pangaea.949134	Physical oceanography during POSEIDON cruise POS501 in Madeira basin in June 2016	PANGAEA	2023
10.5281/zenodo.7832188	بهبود تشخیص هرزپیامک در پیامک های فارسی با ارائه یک پایگاه داده جامع,اولین کنفرانس ملی آنالیز داده ها	Zenodo	2023
10.5255/ukda-sn-9062-1	Scottish Election Study, 2021	UK Data Service	2023
10.5285/beb62085-ba81-480c-9ed0-2d31c27ff196	Potential evapotranspiration derived from HadUK-Grid 1km gridded climate observations 1969-2022 (Hydro-PE HadUK-Grid)	NERC EDS Environmental Information Data Centre	2023
10.18710/cfbqsn	Questionnaire and interview data on passenger safety perception during autonomous ferry public trials	DataverseNO	2023
10.18710/etr83n	Replication Data for: Long-term herbivore removal experiments reveal how geese and reindeer shape vegetation and ecosystem CO2-fluxes in high-Arctic tundra	DataverseNO	2023
10.18710/tp4cms	"Replication Data for: ""Local seismicity and sediment deformation in the west Svalbard margin: Implications of neotectonics for seafloor seepage"""	DataverseNO	2023
10.18710/5kce4u	Background data (adapted from Jenset &amp; McGillivray 2017) for: Down-sampling from hierarchically structured corpus data	DataverseNO	2023
10.18710/hqdbyf	Fluorescence microscopy videos of mitochondria and endosomes in H9c2 cardiomyoblasts	DataverseNO	2023
10.18710/yjrjxt	Replication Data for: Effects of large carnivores, hunter harvest, and weather on the survival of calves in a partially migratory moose population	DataverseNO	2023
10.18710/yac3zp	"Replication Data for: ""Validation of the Norwegian version of the Parents’ Evaluation of Aural/ Oral Performance of Children (PEACH+) for children with typical hearing aged 12-72 months"""	DataverseNO	2023
10.18710/11lltw	Fluorescence microscopy videos of mitochondria in H9c2 cardiomyoblasts	DataverseNO	2023
10.18710/r0i0rw	Replication Data for: Experimental study of the mutual interactions between waves and tailored turbulence	DataverseNO	2023
10.26008/1912/bco-dmo.869081.1	Dissolved iron speciation results from 2019 Bermuda Atlantic Iron Time-series (BAIT) cruises EN631, AE1909, AE1921, AE1930 in the Western Subtropical North Atlantic Gyre from March to November 2019 (BAIT Project)	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891670.1	Landscape parameters of seagrass, fish and macroinvertebrate communities within Artificial Seagrass Units (ASU) in Back Sound, NC from July to September 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891652.1	Landscape fine-scale complexity of seagrass, fish and macroinvertebrate communities within Artificial Seagrass Units (ASU) in Back Sound, NC from July to September 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891686.1	Fish measurements sampled by Dual Frequency Identification Sonar (DIDSON) within Artificial Seagrass Units (ASU) in Back Sound, NC from July to September 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891794.1	Squidpop consumption probability within Artificial Seagrass Units (ASU) in Back Sound, NC from October to November 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891779.1	Fish densities sampled by Dual Frequency Identification Sonar (DIDSON) within Artificial Seagrass Units (ASU) in Back Sound, NC from June to October 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891835.1	Settlement rates of fishes and crab megalopa within Artificial Seagrass Units (ASU) in Back Sound, NC from June to August 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.891859.1	Epibenthic faunal densities sampled from within Artificial Seagrass Units (ASU) in Back Sound, NC from June to October 2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.893521.1	HPLC pigment concentrations from the Bermuda Atlantic Time-series Study (BATS) site from 1988-2022	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.889930.1	Pigment concentrations derived from High-Performance Liquid Chromatography (HPLC) analysis from samples collected during the Tara Pacific expedition from 2016-2018	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.879118.2	Dissection data for metazoan parasites and other symbionts from vent-endemic host species collected from the 9°50’N deep-sea hydrothermal vent field.	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
10.26008/1912/bco-dmo.888772.1	Particulate trace element concentrations measured during four cruises in 2019 at locations around the Bermuda Atlantic Time-series Study (BATS) station	Biological and Chemical Oceanography Data Management Office (BCO-DMO)	2023
